,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
130862,201404250074,2014,4,25,,1,,214,Ukraine,9,Eastern Europe,Donetsk,Slovyansk,48.851688,37.613808,1.0,0,,"04/25/2014: Assailants kidnapped Pavlo Yurov and Denys Gryschuk in Slovyansk city, Donetsk oblast, Ukraine. Both Yurov, a theatre director, and Gryschuk, an art curator, were injured during the abduction but were successfully rescued on July 4, 2014. The Donetsk People's Republic claimed responsibility for the incident.",1,1,1,0.0,,,0.0,1,0,6,Hostage Taking (Kidnapping),,,,,14,Private Citizens & Property,68.0,Named Civilian,Not Applicable,"Civilians: Pavlo Yurov, Denys Gryschuk",214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,1.0,8.0,Personal claim,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0,,,,,1.0,2.0,0.0,,70.0,,,0.0,,,,,,5.0,Successful Rescue,2.0,,"""Ten Weeks In The Hands Of Ukrainian Separatists,"" Radio Free Europe / Radio Liberty, July 30, 2014.","""Kyiv Post Names 24 People Currently Held by Donetsk Oblast Militants,"" Kyiv Post Online, May 5, 2014.",,START Primary Collection,0,1,0,1,
130896,201404260062,2014,4,26,,0,,214,Ukraine,9,Eastern Europe,Donetsk,Slovyansk,48.851688,37.613808,1.0,1,,"04/26/2014: Assailants attacked a military arms depot near Slovyansk city, Donetsk oblast, Ukraine. There were an unknown number of casualties in the attack. No group claimed responsibility for the incident.",1,1,0,1.0,1.0,Insurgency/Guerilla Action,0.0,1,0,2,Armed Assault,,,,,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Armed Forces of Ukraine,Arms Depot,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,,0.0,,,0.0,,-9,,,,It is unknown if any property was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""Gunmen attack   arms depots near Ukraine's Slovyansk - agency,"" BBC Monitoring Kiev Unit Supplied by BBC Worldwide Monitoring, April 26, 2014.",,,START Primary Collection,-9,-9,0,-9,
130898,201404260071,2014,4,26,,1,,214,Ukraine,9,Eastern Europe,Donetsk,Kramatorsk,48.730804,37.574596,1.0,0,,"04/26/2014: Assailants abducted Lieutenant Colonel Rostyslav Kyjashko, Major Serhiy Potiomsky, and Captain Eugeniy Verinsky, three Alpha Group officers, in Kramatorsk city, Donetsk oblast, Ukraine. All three hostages were released unharmed on May 7, 2014. No group claimed responsibility; however, sources attributed the attack to the Donetsk People's Republic.",1,1,1,0.0,,,0.0,1,0,6,Hostage Taking (Kidnapping),,,,,2,Government (General),20.0,Intelligence,Security Service of Ukraine (SBU),"Alpha Group Officers: Lieutenant Colonel Rostyslav Kyjashko, Major Serhiy Potiomsky, Captain Eugeniy Verinsky",214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,9,Melee,24.0,Rope or Other Strangling Device,9.0,Melee,22.0,"Hands, Feet, Fists",,,,,,,,,Devices used to blindfold and tie the hands of the victim were used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,1.0,3.0,0.0,,11.0,,,0.0,,,,,,2.0,Hostage(s) released by perpetrators,3.0,,"""Donetsk People's Republic separatists mark Victory Day weekend with new round of killings, abductions,"" Kyiv Post Online, May 10, 2014.","""Kyiv Post Names 24 People Currently Held by Donetsk Oblast Militants,"" Kyiv Post Online, May 5, 2014.",,START Primary Collection,0,1,0,1,
130899,201404260072,2014,4,26,,1,,214,Ukraine,9,Eastern Europe,Donetsk,Slovyansk,48.851688,37.613808,1.0,0,,"04/26/2014: Assailants abducted Yuriy Leliavsky in Slovyansk city, Donetsk oblast, Ukraine. Leliavsky, a correspondent for Zik TV, was released on May 13, 2014. No group claimed responsibility for the incident; however, sources attributed the abduction to the Donetsk People's Republic.",1,1,1,0.0,,,0.0,1,0,6,Hostage Taking (Kidnapping),,,,,10,Journalists & Media,55.0,Television Journalist/Staff/Facility,Zik TV,Correspondent: Yuriy Leliavsky,214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,1.0,1.0,0.0,,17.0,,,0.0,,,,,,2.0,Hostage(s) released by perpetrators,1.0,,"""Journalist Leliavsky returns to Lviv after Sloviansk captivity,"" Kyiv Post Online, May 13, 2014.","""Kyiv Post Names 24 People Currently Held by Donetsk Oblast Militants,"" Kyiv Post Online, May 5, 2014.","""Seven Ukrainian captives released by militants in troubled east,"" 5 Kanal TV, October 12, 2014.",START Primary Collection,0,1,0,1,
130900,201404260073,2014,4,26,,1,,214,Ukraine,9,Eastern Europe,Donetsk,Slovyansk,48.851688,37.613808,1.0,1,"The incident occurred near Slovyanks, between the city and Kharkiv.","04/26/2014: Assailants abducted Serhiy Shapoval between Slovyansk and Kharkiv cities in Donetsk oblast, Ukraine. Shapoval, a journalist, was tortured and released on May 18, 2014. No group claimed responsibility for the incident; however, sources attributed the abduction to the Donetsk People's Republic.",1,1,1,0.0,,,0.0,1,0,6,Hostage Taking (Kidnapping),,,,,10,Journalists & Media,53.0,Newspaper Journalist/Staff/Facility,Volyn Post,Journalist: Serhiy Shapoval,214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0,,,,,1.0,1.0,0.0,,22.0,,,0.0,,,,,,2.0,Hostage(s) released by perpetrators,1.0,,"""Kyiv Post Names 24 People Currently Held by Donetsk Oblast Militants,"" Kyiv Post Online, May 5, 2014.","""Second man released, at least three remain,"" Amnesty International, May 28, 2014.","""Abducted journalist Serhiy Shapoval released,"" Human Rights in Ukraine, May 20, 2014.",START Primary Collection,0,1,0,1,
130938,201404270050,2014,4,27,,1,,214,Ukraine,9,Eastern Europe,Donetsk,Horlivka,48.327225,38.025673,1.0,0,,"04/27/2014: Assailants abducted three Security Service of Ukraine (SBU) members in Horlivka town, Donetsk oblast, Ukraine. The outcome of the kidnapping is unknown. The Donetsk People's Republic claimed responsibility for the attack.",1,1,1,0.0,,,0.0,1,0,6,Hostage Taking (Kidnapping),,,,,2,Government (General),20.0,Intelligence,Security Service of Ukraine (SBU),Members,214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,1.0,8.0,Personal claim,,,,,,,,9,Melee,27.0,Unknown Weapon Type,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0,,,,,1.0,3.0,0.0,,-99.0,,,0.0,,,,,The assailants demanded the release of imprisoned pro-Russian supporters in exchange for the safe return of the hostages.,7.0,Unknown,-99.0,,"""3 Ukraine security agents captured in Donetsk,"" Turkish Press, April 28, 2014.","""Pro-Russia militia displays captured Ukrainians,"" San Francisco Chronicle, April 27, 2014.",,START Primary Collection,0,1,0,1,
130964,201404280031,2014,4,28,,0,,214,Ukraine,9,Eastern Europe,Kharkiv,Kharkiv,49.97578,36.268193,1.0,0,,"04/28/2014: Assailants opened fire on Gennady Kernes in Kharkiv city, Kharkiv oblast, Ukraine. Kernes, the mayor of Kharkiv, was wounded in the assault. No group claimed responsibility; however, sources suspect that pro-Russia militia members were behind the attack.",1,1,1,0.0,,,0.0,0,0,1,Assassination,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Government of Kharkiv,Mayor: Gennady Kernes,214.0,Ukraine,,,,,,,,,,,,,,,,,Pro-Russia Militia,,,,,,,1.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""One City Falls to Pro-Russian Militants; in Another, the Mayor Is Shot,"" New York Times, April 29, 2014.","""Pro-Russian mayor of Ukrainian town wounded by   gunfire:   official,"" Agence France Presse -- English, April 28, 2014.","""Urgent: Mayor of east Ukrainian city seriously wounded by   gunfire,"" Xinhua General News Service, April 28, 2014.",START Primary Collection,0,0,0,0,
130965,201404280032,2014,4,28,,0,,214,Ukraine,9,Eastern Europe,Donetsk,Unknown,48.001715000000004,37.858422999999995,4.0,0,,"04/28/2014: An explosive device detonated near Armed Forces of Ukraine soldiers in an unknown location of Donetsk oblast, Ukraine. At least one soldier was killed and another was wounded in the blast. No group claimed responsibility for the attack; however, sources attributed the incident to Donetsk People's Republic.",1,1,0,1.0,1.0,Insurgency/Guerilla Action,0.0,1,0,3,Bombing/Explosion,,,,,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Armed Forces of Ukraine,Soldier,214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,6,Explosives,17.0,Other Explosive Type,,,,,,,,,,,,,A homemade bomb was used in the attack.,1.0,0.0,0.0,1.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""One City Falls to Pro-Russian Militants; in Another, the Mayor Is Shot,"" New York Times, April 29, 2014.","""One serviceman killed, one injured after explosion in Donetsk region  Defense Ministry,"" Interfax-Ukraine, April 28, 2014.","""Bomb Kills Soldier in Ukraine's Donetsk Region,"" RIA Novosti, April 28, 2014.",START Primary Collection,0,1,0,1,
130967,201404280034,2014,4,28,,0,,214,Ukraine,9,Eastern Europe,Donetsk,Donetsk,47.981646999999995,37.762325,1.0,0,,"04/28/2014: Assailants attacked a pro-Ukrainian rally in Donetsk city, Donetsk oblast, Ukraine. At least 25 people were injured and five others were abducted in the assault . All five hostages were released overnight the same evening. No group claimed responsibility; however, sources attributed the incident to the Donetsk People's Republic.",1,1,1,0.0,,,0.0,1,0,6,Hostage Taking (Kidnapping),8.0,Unarmed Assault,,,14,Private Citizens & Property,84.0,Political Party Member/Rally,Unknown,Pro-Ukraine Rally,214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,9,Melee,21.0,Blunt Object,9.0,Melee,24.0,Rope or Other Strangling Device,,,,,,,,,"Baseball bats, clubs, and whips were used in the attack.",0.0,0.0,0.0,25.0,0.0,0.0,0,,,,,1.0,5.0,0.0,-99.0,,,,0.0,,,,,,2.0,Hostage(s) released by perpetrators,5.0,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here.","""Several wounded as pro-Moscow   militants attack   Ukraine rally,"" Daily The Pak Banker, April 29, 2014.","""Disarray in eastern Ukraine as separatists attack a rally,"" Washington Post, April 29, 2014.","""Several wounded as pro-Moscow militants attack Ukraine rally,"" Business Standard India, April 28, 2014.",START Primary Collection,0,1,0,1,
130984,201404280059,2014,4,28,,0,,214,Ukraine,9,Eastern Europe,Donetsk,Donetsk,47.981646999999995,37.762325,1.0,0,,"04/28/2014: Assailants opened fire on a bank branch in Donetsk city, Donetsk oblast, Ukraine. There were no reported casualties in the assault. No group claimed responsibility; however, sources attributed the attack to the Donetsk People's Republic.",1,1,1,0.0,,,0.0,1,0,8,Unarmed Assault,,,,,1,Business,3.0,Bank/Commerce,Unknown,Bank Branch,214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,300.0,0.0,0.0,,,,,,,,,,9,Melee,21.0,Blunt Object,,,,,,,,,,,,,Baseball bats were used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,-9,,,,It is unknown if any property was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""Pro-Russian activists   attack   oligarch bank in Donetsk,"" Agence France Presse -- English, April 28, 2014.","""Pro-Russian activists attack oligarch bank,"" MSN New Zealand, April 28, 2014.","""Second Jewish Official Attacked in Ukraine in 24 Hours,"" Israel National News, April 28, 2014.",START Primary Collection,0,1,0,1,
130986,201404280080,2014,4,28,,0,,214,Ukraine,9,Eastern Europe,Donetsk,Kramatorsk,48.730804,37.574596,1.0,0,The incident occurred at the airport on the outskirts of the city.,"04/28/2014: Assailants opened fire on Internal Troops (VV) personnel near the airport in Kramatorsk city, Donetsk oblast, Ukraine. At least two officers were wounded in the assault. No group claimed responsibility; however, sources attributed the attack to the Donetsk People's Republic.",1,1,0,1.0,1.0,Insurgency/Guerilla Action,0.0,1,0,2,Armed Assault,,,,,4,Military,39.0,Paramilitary,Internal Troops (VV),Soldiers,214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""Two law enforcers injured in Kramatorsk airport shootout,"" Interfax-Ukraine, April 28, 2014.",,,START Primary Collection,0,1,0,1,
130988,201404280088,2014,4,28,,0,,214,Ukraine,9,Eastern Europe,Donetsk,Kostiantynivka,48.526871,37.711357,1.0,0,,"04/28/2014: Assailants seized the town hall in Kostyantynivka city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility; however, sources attributed the incident to the Donetsk People's Republic.",1,1,1,0.0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21.0,Government Building/Facility/Office,Government of Kostyantynivka,Town Hall,214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-9,,,,It is unknown if any property was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""AFP Lists 'More Than a Dozen Towns' Held by Pro-Russian Rebels in East Ukraine,"" AFP (North European Service), May 3, 2014.",,,START Primary Collection,0,1,0,1,
131043,201404290084,2014,4,29,,0,,214,Ukraine,9,Eastern Europe,Luhansk,Pervomaisk,48.627964,38.555561,1.0,0,,"04/29/2014: Assailants seized the town hall in Pervomaisk city, Luhansk oblast, Ukraine. There were no reported casualties in the attack. The Luhansk People's Republic claimed responsibility for the incident.",1,1,1,0.0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21.0,Government Building/Facility/Office,Government of Pervomaisk,Town Hall,214.0,Ukraine,,,,,,,,,,,,,,,,,Luhansk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,1.0,5.0,Note left at scene,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-9,,,,It is unknown if any property was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""AFP Lists 'More Than a Dozen Towns' Held by Pro-Russian Rebels in East Ukraine,"" AFP (North European Service), May 3, 2014.",,,START Primary Collection,0,1,0,1,
131046,201404290088,2014,4,29,,1,,214,Ukraine,9,Eastern Europe,Donetsk,Kostiantynivka,48.526871,37.711357,1.0,0,,"04/29/2014: Assailants abducted two Central Election Commission of Ukraine members in Kostiantynivka city, Donetsk oblast, Ukraine. The outcome of the kidnapping is unknown. No group claimed responsibility; however, sources attributed the attack to the Donetsk People's Republic.",1,1,1,0.0,,,0.0,1,0,6,Hostage Taking (Kidnapping),,,,,2,Government (General),19.0,Election-related,Central Election Commission of Ukraine,"Members: Yaroslav Malanchuk, Artem Popyk",214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0,,,,,1.0,2.0,0.0,,-99.0,,,0.0,,,,,,7.0,Unknown,-99.0,,"""Kyiv Post Names 24 People Currently Held by Donetsk Oblast Militants,"" Kyiv Post Online, May 5, 2014.",,,START Primary Collection,0,1,0,1,
131048,201404290090,2014,4,29,,1,,214,Ukraine,9,Eastern Europe,Donetsk,Kramatorsk,48.730804,37.574596,1.0,0,,"04/29/2014: Assailants abducted four police officers in Kramatorsk city, Donetsk oblast, Ukraine. Two of the officers were released on May 2, 2014. The fate of the remaining hostages is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to the Donbass People's Militia of the Donetsk People's Republic.",1,1,1,0.0,,,0.0,1,0,6,Hostage Taking (Kidnapping),,,,,3,Police,25.0,Police Security Forces/Officers,Militsiya,"Officers: Vitaliy Benko, Oleg Zaitsev, Andriy Redko",214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,Donbass People's Militia,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0,,,,,1.0,4.0,0.0,,-99.0,,,0.0,,,,,,6.0,Combination,2.0,,"""Kyiv Post Names 24 People Currently Held by Donetsk Oblast Militants,"" Kyiv Post Online, May 5, 2014.",,,START Primary Collection,0,1,0,1,
131049,201404290091,2014,4,29,,0,,214,Ukraine,9,Eastern Europe,Luhansk,Luhansk,48.581534999999995,39.355545,1.0,0,,"04/29/2014: Assailants seized the prosecutor's office in Luhansk city, Luhansk oblast, Ukraine. There were no reported casualties in the attack. This was one of three government buildings overrun in Luhansk on the same day. No group claimed responsibility for the incidents; however, sources attributed the attack to the Luhansk People's Republic.",1,1,1,0.0,,,1.0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),14.0,Judge/Attorney/Court,Government of Luhansk,Office of Prosecutor,214.0,Ukraine,,,,,,,,,,,,,,,,,Luhansk People's Republic,,,,,,,0.0,,,0,20.0,0.0,0.0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-9,,,,It is unknown if any property was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""Separatists storm Luhansk govt buildings,"" Ukrainian Journal, April 30, 2014.",,,START Primary Collection,0,1,0,1,"201404290091, 201404290092, 201404300061"
131050,201404290092,2014,4,29,,0,,214,Ukraine,9,Eastern Europe,Luhansk,Luhansk,48.581534999999995,39.355545,1.0,0,,"04/29/2014: Assailants seized the television center in Luhansk city, Luhansk oblast, Ukraine. There were no reported casualties in the attack. This was one of three government buildings overrun in Luhansk on the same day. No group claimed responsibility for the incidents; however, sources attributed the attack to the Luhansk People's Republic.",1,1,1,0.0,,,1.0,1,0,7,Facility/Infrastructure Attack,,,,,10,Journalists & Media,55.0,Television Journalist/Staff/Facility,Unknown,Television Center,214.0,Ukraine,,,,,,,,,,,,,,,,,Luhansk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-9,,,,It is unknown if any property was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""Separatists storm Luhansk govt buildings,"" Ukrainian Journal, April 30, 2014.",,,START Primary Collection,0,1,0,1,"201404290091, 201404290092, 201404300061"
131082,201404300059,2014,4,30,,0,,214,Ukraine,9,Eastern Europe,Donetsk,Horlivka,48.327225,38.025673,1.0,0,,"04/30/2014: Assailants seized and barricaded the City Hall in Horlivka town, Donetsk oblast, Ukraine. There were no reported casualties in the attack. This was one of two government buildings overrun in Horlivka on the same day. No group claimed responsibility; however, sources attributed the incident to the Donetsk People's Republic.",1,1,1,0.0,,,1.0,0,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21.0,Government Building/Facility/Office,Government of Horlivka,City Hall,214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,An unknown number of Kalashnikov-variant rifles were used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""AFP Lists 'More Than a Dozen Towns' Held by Pro-Russian Rebels in East Ukraine,"" AFP (North European Service), May 3, 2014.","""Ukrainian leader slams police 'treachery',"" Turkish Press, May 1, 2014.","""FYI -- Separatists Seize Horlivka City Council Building,"" Kyiv Post Online, April 30, 2014.",START Primary Collection,0,1,0,1,"201404300059, 201404300073"
131084,201404300061,2014,4,29,,0,,214,Ukraine,9,Eastern Europe,Luhansk,Luhansk,48.581534999999995,39.355545,1.0,0,,"04/29/2014: Assailants seized the Militsiya Station in Luhansk city, Luhansk oblast, Ukraine. There were no reported casualties in the attack. This was one of three government buildings overrun in Luhansk on the same day. No group claimed responsibility; however, sources attributed the incident to the Luhansk People's Republic.",1,1,1,0.0,,,1.0,1,0,7,Facility/Infrastructure Attack,,,,,3,Police,22.0,"Police Building (headquarters, station, school)",Militsiya,Police Station,214.0,Ukraine,,,,,,,,,,,,,,,,,Luhansk People's Republic,,,,,,,0.0,,,0,20.0,0.0,0.0,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,9.0,Melee,21.0,Blunt Object,12.0,Other,,,,,,,"Automatic firearms, stun grenades, as well as clubs were used in the attack.",0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A police station was damaged and weapons were stolen in this attack.,0.0,,,,,,,,,,,,,,,,,"""Separatists storm Luhansk govt buildings,"" Ukrainian Journal, April 30, 2014.","""Pro-Russian Separatists Storm Luhansk Government Building in Ukraine,"" VOA News, April 29, 2014.","""Pro-Russia rebels seize state buildings in east Ukraine,"" FZ.com, April 30, 2014.",START Primary Collection,0,1,0,1,"201404290091, 201404290092, 201404300061"
131089,201404300073,2014,4,30,,0,,214,Ukraine,9,Eastern Europe,Donetsk,Horlivka,48.327225,38.025673,1.0,0,,"04/30/2014: Assailants seized the Militsiya Station in Horlivka town, Donetsk oblast, Ukraine. There were no reported casualties in the attack. This was one of two government buildings overrun in Horlivka on the same day. No group claimed responsibility; however, sources attributed the incident to the Donetsk People's Republic.",1,1,1,0.0,,,1.0,1,0,7,Facility/Infrastructure Attack,,,,,3,Police,22.0,"Police Building (headquarters, station, school)",Militsiya,Police Station,214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-9,,,,It is unknown if any property was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""AFP Lists 'More Than a Dozen Towns' Held by Pro-Russian Rebels in East Ukraine,"" AFP (North European Service), May 3, 2014.","""Kiev: Forces ""helpless"" to restore order in east,"" Abilene Reporter, May 1, 2014.",,START Primary Collection,0,1,0,1,"201404300059, 201404300073"
131092,201404300083,2014,4,30,,0,,214,Ukraine,9,Eastern Europe,Luhansk,Alchevsk,48.487171000000004,38.771599,1.0,0,,"04/30/2014: Assailants seized the town hall in Alchevsk city, Luhansk oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility; however, sources attributed the incident to the Luhansk People's Republic.",1,1,1,0.0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21.0,Government Building/Facility/Office,Government of Alchevsk,Town Hall,214.0,Ukraine,,,,,,,,,,,,,,,,,Luhansk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-9,,,,It is unknown if any property was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""AFP Lists 'More Than a Dozen Towns' Held by Pro-Russian Rebels in East Ukraine,"" AFP (North European Service), May 3, 2014.",,,START Primary Collection,0,1,0,1,
131143,201405010068,2014,5,1,,0,,214,Ukraine,9,Eastern Europe,Luhansk,Luhansk,48.581534999999995,39.355545,1.0,0,,"05/01/2014: Assailants stormed a regional television station in Luhansk city, Luhansk oblast, Ukraine. No casualties were reported; however, the assailants changed the broadcast from First Ukrainian National Channel to Russia 24. No group claimed responsibility for the incident; however, sources attributed the attack to the Luhansk People's Republic.",1,1,1,0.0,,,0.0,0,0,7,Facility/Infrastructure Attack,,,,,10,Journalists & Media,55.0,Television Journalist/Staff/Facility,Unknown,Checkpoints,214.0,Ukraine,,,,,,,,,,,,,,,,,Luhansk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""On-edge rebels in Ukraine briefly grab Western journalists,"" News.net, May 2, 2014.",,,START Primary Collection,0,1,0,1,
131175,201405020034,2014,5,2,,0,,214,Ukraine,9,Eastern Europe,Donetsk,Slovyansk,48.851688,37.613808,1.0,0,,"05/02/2014: Assailants shot down two Ukrainian military helicopters in Slovyansk city, Donetsk oblast, Ukraine. One pilot was killed and several crew members wounded in the attack. The Donetsk People's Republic claimed responsibility for the incident.",1,1,0,1.0,1.0,Insurgency/Guerilla Action,0.0,1,0,3,Bombing/Explosion,,,,,4,Military,31.0,Military Aircraft,Armed Forces of Ukraine,Helicopters,214.0,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0.0,,,0,-99.0,0.0,1.0,8.0,Personal claim,,,,,,,,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,Grenade launchers and portable anti-aircraft missiles were used in the attack.,1.0,0.0,0.0,,0.0,0.0,1,4.0,Unknown,-99.0,Two military helicopters were damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""Two helicopters downed in eastern Ukraine,"" Xinhua News Agency, May 2, 2014.","""Near the town are Slavjansk,"" National Turk, May 2, 2014.","""Open Source Center Current Developments 0900 GMT 2 May 2014,"" OSC Summary, May 2, 2014.",START Primary Collection,0,1,0,1,
